AgeMonths,RelativeDeviation,FeedsStdDev,PctDaysOutOfRange,Label
21,-2.96435,1.18654,1,Critical
18,4.35811,0.555988,0.36775,Normal
14,-1.92868,0.321671,0.843799,Warning
16,0.0310182,0.381705,0.398343,Normal
1,-0.00894129,0.0188724,0.0866906,Normal
9,-2.61849,0,0.61177,Warning
10,0.170999,0.865292,0.471722,Normal
0,0.723959,1.00876,0.302191,Normal
9,-2.67269,0.654613,0.636636,Warning
4,-2.7243,0.204794,0.6553,Warning
2,-0.432012,1.04983,0,Normal
5,1.23765,0.924262,0.748139,Warning
15,-0.943365,0.439409,0.129797,Normal
4,0.129235,0.275991,0.25024,Normal
23,0.261558,1.37544,0.209887,Normal
18,-2.63698,0.104746,1,Critical
13,-0.889018,0.456486,0,Warning
0,-0.738523,0.730948,0.215715,Normal
10,0.500568,0.710148,0.522106,Normal
10,2.85999,0.677164,0.761687,Warning
11,3.34146,0.642878,0.594422,Normal
2,-0.0111207,0.654618,0.133415,Normal
1,2.49668,0.875212,0.96799,Critical
6,1.49837,1.02916,0.605017,Warning
8,0.77802,0.519833,0.240806,Normal
17,-0.398003,0.14099,0.179639,Normal
12,-0.547811,0.882533,0.701227,Warning
10,-0.756257,0.57678,0.385492,Normal
6,-2.12542,1.00903,0.819174,Warning
6,0.951352,0.0586878,0.0697314,Normal
9,-0.135304,0.949381,0.397604,Normal
5,2.04725,0.286773,0.511636,Normal
21,-3,1.32786,0.892924,Warning
16,0.446711,0.729971,0.328562,Normal
21,0.603614,1.01934,0,Normal
6,-1.68797,0.420408,0.444967,Normal
16,-0.0910313,0.537609,0.0367645,Normal
0,0.739992,0.887266,0.570977,Normal
1,-0.547938,0.80009,0.119704,Normal
0,-0.384273,0.11096,0.15388,Normal
2,-0.238226,0.531182,0.543876,Normal
21,-0.316602,0.0681117,0.516771,Normal
3,-1.28484,0,0.680585,Warning
5,-0.921703,1.04468,0.487613,Normal
21,-0.0670312,0.247586,0,Normal
7,0.75394,0.244313,0.490681,Normal
22,1.00697,0.506747,0.7012,Warning
18,0.502361,0.761027,0.191315,Normal
12,1.39268,0.755354,0.399965,Normal
4,-0.368305,1.41576,0.270337,Warning
11,0.956232,0.666651,0.267865,Normal
9,0.377607,0.109462,0.4062,Warning
11,0.268957,0.361719,0.410603,Normal
4,2.7412,0.0841483,0.658807,Warning
23,1.60673,0,0.752166,Warning
12,0.257837,0.257025,0.170976,Normal
22,-2.20417,1.01498,0.995612,Critical
5,-0.0914704,0.0183289,0.282984,Normal
1,-0.469038,0.732817,0.290806,Normal
16,-3,0.673528,0.393494,Normal
6,0.222059,0.925645,0.134178,Normal
0,-0.774961,1.22489,0.234023,Normal
15,-2.03459,0.196606,0.461433,Normal
3,-0.357408,0.948506,0.50966,Normal
7,3.06355,0.403613,1,Critical
11,-1.53234,1.09385,0.699848,Warning
1,0.977026,0.336971,0.0390778,Normal
1,-0.167459,0,0.0336697,Normal
4,-0.331096,0.385773,0.45496,Normal
14,0.776528,0.530591,0,Normal
23,-3,0.385606,1,Critical
10,-3,0.61783,0.543237,Normal
6,-0.717804,0.898482,0,Normal
18,-0.511479,0.237857,0.059675,Normal
13,-0.972701,0.559892,0.445495,Normal
13,-0.543104,0.221077,0.317214,Normal
14,0.667142,0.330741,0,Normal
6,2.27858,1.2291,0.682432,Warning
22,-0.853566,0.416443,0.0238356,Normal
5,-1.66533,0.241376,0.755208,Warning
7,-2.18257,1.18443,1,Critical
16,-0.0122659,0.967176,0.0854524,Normal
22,-2.49232,0.788831,0.796705,Warning
9,-2.02348,0.729533,0.945188,Critical
11,2.32069,0.401705,0.705526,Warning
12,3.05911,0.379499,1,Critical
23,-1.07226,0.530846,0.480151,Normal
20,0.538624,0.359465,0.593321,Normal
22,0.832889,0.249925,0.04911,Normal
17,2.82033,1.05682,0.744497,Warning
2,-0.036463,0,0.462092,Normal
23,-0.47654,0.281485,0.0606323,Normal
18,0.559864,0.545782,0,Normal
7,-0.41599,1.02601,0.362339,Normal
5,0.488525,0.625786,0.711152,Warning
19,-1.10285,1.10571,0.644222,Warning
21,0.0635618,0.207284,0.278033,Normal
0,-0.0344948,0.347864,0.100715,Normal
14,-0.683584,0.416519,0,Normal
14,0.160847,1.60923,0.546379,Normal
0,-3.63857,0.423698,0.486399,Normal
6,-1.47047,0.960682,0.527552,Normal
6,-0.127148,0.807951,0.784074,Normal
18,2.27684,1.18752,0.674141,Warning
3,2.97596,0.758009,0.898541,Warning
1,0.33075,0.111204,0.316708,Normal
14,-0.732685,0.889268,0.011666,Normal
3,-0.258667,0.955037,0.225434,Normal
20,-0.449325,0.894766,0.144109,Normal
10,0.0101471,0,0,Normal
5,3.63497,0.52283,0.685474,Warning
21,-0.00784164,0.546263,0,Normal
18,-1.8039,0,1,Critical
3,2.71107,1.09886,0.683506,Warning
22,0.586254,0.470001,0.393929,Normal
21,0.337179,0.811264,0.238383,Normal
7,-0.143173,0.554877,0,Normal
14,3.74159,0.389465,1,Critical
16,-1.88657,0,0.600253,Warning
7,0.50519,0.599726,0.00567028,Normal
19,2.18314,1.3303,1,Critical
8,2.1295,0.583453,0.827331,Warning
19,-0.319966,0.698426,0.352367,Normal
6,-1.05466,1.11878,0.871212,Warning
3,2.80252,0.97728,0.810671,Warning
18,2.007,0.859953,1,Critical
22,-0.321392,0.0189742,0.47241,Normal
17,0.21987,0.644053,0,Normal
8,-3.87055,0.252934,0.839383,Warning
0,2.23384,1.38329,0.569341,Normal
6,-0.12588,0.165586,0.25849,Normal
4,-1.16847,2.07414,0.809073,Warning
12,0.800889,1.49177,0.185655,Normal
5,1.06308,0.812992,0.842332,Warning
3,-1.10807,0.470947,0.801191,Warning
5,0.641139,0.65349,0.527168,Normal
17,2.78579,0.142504,0.32849,Normal
2,0.490985,0.485636,0.0294621,Normal
20,-0.780084,1.14112,0.0387645,Normal
8,0.227778,0.361732,0.432372,Normal
5,-0.339288,1.14362,0.150031,Normal
1,0.686333,0.373049,0.234646,Normal
7,-2.38418,0.347617,0.950186,Critical
5,-0.169669,0.666719,0.0374349,Normal
5,-1.35963,0.0392093,0.859871,Warning
19,2.32537,0.995968,1,Critical
14,-0.704211,0.440315,0.110854,Normal
4,0.357625,0.718937,0.0832882,Normal
14,4.50061,0.915308,0.631377,Warning
17,2.04578,0.0726374,0.780078,Warning
18,3.80703,0.815369,0.762118,Warning
12,0.369711,1.21808,0.000589606,Normal
3,-0.608559,0.458845,0,Normal
18,2.55298,0.60412,0.604426,Warning
22,-0.420859,0.685558,0.651812,Warning
3,-0.00795671,0.689636,0.116514,Normal
5,-0.516799,1.055,0.350641,Normal
17,1.46156,1.46369,0.624804,Warning
20,0.612139,0.673481,0.0319804,Normal
16,2.14837,0,0.642671,Warning
19,0.536411,1.02214,0.84311,Warning
9,-0.262243,0.121303,0.0877932,Normal
16,0.327867,0.604601,0,Normal
18,-1.78529,1.32368,0.45935,Normal
9,-0.51542,1.11607,0.562308,Normal
18,3.8585,1.04543,1,Critical
2,0.226032,0.546037,0.305839,Normal
19,-0.444208,1.17264,0.546396,Normal
6,0.823744,1.38784,0.101666,Normal
1,0.906218,0.338795,0.470078,Normal
2,2.26573,0.570044,0.71005,Warning
18,-1.02143,0.21342,0.352853,Normal
23,0.0701588,1.16567,0.163613,Normal
10,0.0257943,0.944845,0.227487,Normal
20,1.27547,0.454954,0.645067,Warning
1,1.77,0.0867031,0.773263,Warning
6,-3.23018,0.774003,0.786166,Warning
19,-0.405552,0.359947,0,Normal
16,-0.150834,0.827557,0,Normal
6,0.444114,0.597384,0.0196541,Normal
6,0.264538,1.43582,0.363109,Normal
18,-0.173671,0.448366,0.379216,Normal
21,2.76955,1.06922,1,Critical
17,-0.114211,0.360717,0.230974,Normal
8,-0.615635,1.47296,0.613366,Warning
22,2.95944,0.21024,0.826215,Warning
7,-1.15036,0.69888,0.649631,Warning
13,1.72835,0.753112,0.600828,Warning
0,-2.41457,0.39862,0.978471,Critical
8,0.73433,0.27658,0.104559,Normal
0,-0.638449,0.306855,0.273993,Normal
12,0.347877,0.673719,0.428394,Normal
0,0.150318,0.0866481,0.570761,Normal
2,-3.26134,0.933909,0.720384,Warning
13,-2.06419,0.428269,0.735521,Warning
8,-1.75874,0.990945,0.447967,Normal
0,-0.286478,0.448381,0.180052,Normal
18,1.21682,0.647389,0.734428,Warning
11,2.3851,0.171636,0.825331,Warning
13,-2.77725,0.370647,0.576146,Normal
6,1.35406,0.66962,0.341234,Normal
21,1.52453,0.520365,0.654165,Warning
13,-3,0.934064,0.975747,Critical
19,-0.411381,1.03532,0.125446,Normal
21,-0.00375967,0.799707,0.100125,Normal
18,1.67528,0.711868,0.591825,Normal
2,-1.02273,0.680079,0.487228,Normal
9,0.967862,0.666278,0.211895,Normal
0,0.322325,1.26089,0,Normal
22,-0.686912,0.0103078,0.029666,Normal
20,-0.994701,1.04143,0,Normal
9,0.569271,0,0.268922,Normal
15,0.363611,0.378556,0,Warning
23,0.032637,0.369502,0.468607,Normal
4,2.71604,0.259479,1,Critical
8,0.958553,0,0.30884,Normal
4,0.148996,1.20663,0.154954,Normal
16,-2.56754,0,0.961727,Critical
22,0.909534,0.234107,0,Normal
7,-0.653143,0.491382,0.0227264,Normal
12,0.462016,0.589866,0.557436,Normal
14,-0.442393,0,0.177407,Normal
16,2.36507,0.176362,0.595459,Normal
14,-0.449069,1.18273,0.463722,Normal
17,1.03283,1.2719,0.525057,Normal
20,-2.91386,0.122359,0.851766,Warning
0,0.240395,0.740429,0.0275297,Normal
21,2.30131,0.504878,0.736434,Warning
1,-3.04825,0,0.619984,Warning
15,-0.787635,0.783799,0,Normal
4,-1.86071,0.486898,0.869064,Warning
4,-1.07487,0.55438,0.5177,Normal
19,1.16861,0.756856,0.835847,Warning
23,1.8915,0.636172,0.94443,Critical
7,-1.25053,0.108671,0.588955,Normal
7,0.965111,0.0523088,0,Normal
2,1.00587,0.574553,0.842914,Warning
14,0.24781,1.14136,0.0353716,Normal
7,3.11988,1.34971,0.644588,Critical
18,-0.235609,0.169226,0.61034,Warning
3,0.867818,0.885803,0.249832,Normal
14,-0.568213,0.517332,0.544008,Normal
9,3.41709,0.55215,0.440237,Normal
17,1.99254,0.97109,0.618035,Warning
20,-0.340208,0.15152,0.427741,Normal
10,0.82365,0.608137,0.459548,Normal
7,2.98804,0.577256,0.397067,Normal
11,-0.400543,0.90649,0.504691,Normal
4,-1.86492,0.90896,0.813805,Warning
20,-1.73072,0.220029,0.7619,Warning
23,-0.491581,0.876398,0.351128,Normal
14,2.19576,1.08857,0.873937,Warning
6,-0.751421,0.725183,0.0186114,Normal
22,-0.33803,1.11909,0.138507,Normal
17,1.99125,0.76296,0.859794,Warning
2,-0.57583,0.101714,0.123344,Normal
13,2.87331,0.58837,0.750887,Warning
17,0.000670124,0.918931,0.174752,Normal
8,-0.442411,0.257495,0.339733,Normal
7,0.48802,0,0.346398,Normal
1,0.0487735,0,0,Normal
0,-0.114485,0.518361,0.0509282,Normal
13,-0.225129,0.353625,0.0585001,Normal
4,-0.253612,0.393739,0.113398,Normal
10,-2.5415,1.40628,1,Critical
15,-3,0.817006,0.57412,Normal
18,-2.34692,0.507609,0.241329,Normal
16,2.1669,0,0.950299,Critical
15,0.592054,0.295714,0.625562,Warning
14,-0.703044,0.642888,0.254415,Normal
9,3.15809,0.274113,0.765861,Warning
9,0.311133,0.466776,0.0466286,Normal
10,-1.34547,0.85516,0.793762,Warning
4,4.1418,1.27696,1,Critical
4,-0.493747,0.123983,0.433107,Normal
15,2.38465,1.13082,0.917869,Critical
2,0.269654,0.275683,0.207023,Normal
17,-1.21783,0.711212,0.983763,Critical
23,0.330831,0.3132,0,Normal
22,0.338533,0.833573,0.504846,Normal
8,-1.29868,1.02652,0.797951,Warning
17,0.930072,1.10075,0.0667219,Normal
7,-0.752849,1.17853,0,Warning
10,-0.305137,0.627924,0.21917,Normal
14,-0.980671,0.213016,0.471568,Normal
6,-0.457163,0.487763,0.385908,Normal
17,0.882955,0.811563,0.17515,Normal
22,0.955904,0.41237,0.240713,Normal
11,0.883992,0.721609,0.490397,Normal
4,1.75916,0.442898,1,Critical
14,0.744022,1.22241,0.244882,Normal
15,-0.566106,0.442456,0.0170017,Normal
15,-0.298569,1.26514,0.0246089,Normal
5,-1.15426,0.412558,1,Warning
14,0.995979,0.112696,0.264253,Normal
10,-0.0202127,0.438024,0,Warning
23,1.19308,0.541282,1,Warning
6,0.152637,0.499432,0.267704,Normal
8,-2.25728,0.786824,0.468887,Warning
18,-0.633591,0.819246,0.407086,Normal
7,0.876746,0.764444,0,Normal
17,1.28175,0.674224,1,Critical
16,1.60602,1.37609,0.744785,Warning
6,-0.0390362,0.0574158,0,Normal
21,-1.04942,0.753769,0.594966,Normal
5,1.06826,1.01161,1,Warning
5,-0.626656,0.685241,0.360162,Normal
19,-1.52439,1.06237,0.479638,Normal
0,0.128126,0.804789,0.0144638,Normal
3,2.62858,0.531641,1,Critical
4,2.18921,1.20293,0.48836,Normal
21,0.178965,1.3652,0.111165,Normal
18,0.171629,0.645899,0.106362,Normal
20,2.50453,0.87104,0.52293,Normal
11,0.99721,0.158875,0,Normal
13,-0.194024,0.931837,0.404975,Normal
6,0.371762,0.114034,0.294864,Normal
6,-0.00291221,0.184776,0.398024,Normal
15,-3,0.282046,0.964622,Critical
9,-0.145824,0.817352,0.424083,Normal
13,2.58728,0.733741,0.642469,Warning
9,-0.638673,0.241612,0.390801,Normal
13,-0.608581,0,0.389075,Normal
19,-3,0,1,Critical
11,-0.309083,1.22762,0.442439,Normal
21,-0.538897,1.11358,0.0368519,Normal
3,0.191341,0.164749,0,Normal
0,-2.38972,0.389215,0.79252,Warning
4,-3.21438,0.642479,0.90721,Warning
9,-3,1.35461,0.65454,Warning
11,-0.625337,0.457087,0,Normal
21,-0.0601152,0.315605,0.353581,Normal
22,0.15246,0.678898,0.29747,Normal
15,-0.0338594,0.785227,0.722131,Normal
1,3.15699,0.558749,0.833871,Warning
15,0.365501,0.210955,0.510976,Normal
12,2.17078,0.764059,1,Critical
12,-0.349493,0,0,Normal
13,-0.0754872,1.02333,0.188514,Normal
21,-2.77604,0.248107,0.793208,Warning
23,-0.19842,0.228068,0.512118,Normal
6,-0.0221713,0.817303,0.409694,Normal
11,-0.0403017,0.890995,0.0423536,Warning
16,-0.417053,0.71907,0,Normal
3,-0.179591,0.820574,0,Normal
11,-0.532823,0.95401,0.573576,Normal
10,-2.51227,0.8212,0.501177,Normal
17,-0.0219647,0.211084,0.47031,Normal
19,0.536485,0.0222397,0.446799,Normal
22,4.95279,0.796902,1,Critical
23,0.370877,0.411309,0.508135,Normal
8,-0.0829734,0.98426,0.207726,Normal
14,-0.458379,0,0.628513,Warning
18,2.41896,0.805667,0.818264,Warning
13,1.65621,0.694278,0.756003,Warning
8,-3.56916,1.25664,0.560513,Warning
1,-0.920702,0.898643,0.633941,Warning
19,1.9686,0.168863,1,Critical
20,-3,0.622965,0.51784,Warning
20,2.12531,0.46138,0.878218,Warning
2,-0.182127,0.210224,0.0587033,Normal
12,1.60966,0.750844,0.769961,Warning
23,-1.04691,1.34009,0.445777,Normal
20,-0.505354,0.74476,0,Normal
16,-2.22378,0.485861,0.915047,Critical
16,0.600275,1.40291,0.0108109,Normal
21,-0.512995,0.894677,0.264538,Normal
12,2.6596,0.813175,0.70588,Warning
14,-0.0393043,1.32347,0.2689,Normal
19,2.89225,0.770974,0.10932,Normal
6,0.441852,0.0994902,0.347433,Normal
3,-2.17286,0.894545,0.708749,Warning
12,-3,0.055452,0.975555,Critical
14,2.51693,1.5133,0.787404,Warning
17,-2.08148,1.53522,0.684609,Critical
12,-1.12433,0.677951,0.642096,Warning
16,-1.8325,0.469221,0.610805,Warning
18,-0.94282,0.18016,0.934603,Warning
23,3.01212,0.907274,0.713112,Warning
7,-0.23392,1.23614,0.286468,Normal
10,-2.58509,0.4929,0.744999,Warning
10,0.313946,1.24253,0.605107,Normal
7,-1.57945,0.609937,0.733508,Warning
