AgeMonths,RelativeDeviation,StdDevMinutes,PctDaysOutOfRange,Direction,Label
18,0.0166502,35.5479,0.453201,1,Normal
3,0.276454,14.3228,0.00805991,1,Normal
0,-1.77137,55.6206,0.807138,-1,Warning
3,0.0353089,35.3276,0.444775,1,Normal
12,0.350795,19.636,0.281458,1,Normal
18,2.35506,42.6829,0.850597,1,Warning
13,3.1165,42.1976,0.293988,1,Normal
16,0.903345,12.9349,0,1,Normal
20,0.101816,49.6399,0.746079,1,Normal
16,-0.676669,20.8417,0.145181,-1,Normal
12,0.26279,36.1426,0,1,Normal
16,-0.316668,33.4838,0,-1,Normal
21,-3.53189,24.0037,0.7804,-1,Warning
6,-0.232092,59.7982,0.0524503,-1,Normal
8,3,40.1887,0.607616,1,Normal
2,-0.651268,11.9829,0.46085,-1,Normal
0,-1.80468,49.0302,1,-1,Warning
11,-0.566585,0,0.44591,-1,Normal
9,-0.924957,40.7237,0.497535,-1,Normal
11,1.0902,51.3759,0.885034,1,Normal
8,-0.091964,1.60683,0.294587,-1,Normal
7,2.10499,43.0134,1,1,Warning
6,-0.577791,40.6928,0.468532,-1,Normal
7,-0.677895,36.4063,0.0173169,-1,Normal
11,2.16162,23.0459,0.5845,1,Normal
16,2.22307,40.6151,1,1,Warning
8,0.201141,54.2517,0.493461,1,Normal
8,3,44.1446,0.772652,1,Normal
8,-3.17495,49.0825,0.345881,-1,Normal
0,0.0391832,23.321,0.469853,1,Normal
19,-0.22035,25.1255,0.0671401,-1,Normal
13,-3.9537,51.9051,0.567941,-1,Normal
4,-1.47831,39.1177,0.942233,-1,Warning
2,0.316089,0,0.200074,1,Normal
11,-0.114892,31.4382,0,-1,Normal
8,-2.19831,25.5132,1,-1,Normal
18,0.240727,50.8415,0.280105,1,Normal
3,0.665733,35.4757,0,1,Normal
23,-0.0374777,46.4063,0.193796,-1,Normal
21,0.0850062,27.4079,0.151744,1,Normal
10,1.90815,36.895,0.480015,1,Normal
2,-0.205187,45.594,0.592178,-1,Normal
13,0.298688,25.8346,0.0555613,1,Normal
14,0.634621,50.8833,0.565757,1,Normal
16,1.6956,57.5068,0.78564,1,Normal
5,-0.149174,73.634,0.542474,-1,Normal
18,0.890315,68.3354,0.410599,1,Normal
16,0.444623,47.5662,0.171097,1,Normal
22,0.00279824,37.2978,0.780409,1,Normal
12,0.0491668,52.417,0.18088,1,Normal
21,-0.18603,31.4117,0.166675,-1,Normal
23,0.893215,61.252,0.132896,1,Normal
23,-1.25028,20.5949,0.622131,-1,Warning
10,1.96565,18.0745,0.796369,1,Normal
13,0.265269,38.8285,0.00148261,1,Normal
18,-0.0121816,26.2844,0.247334,-1,Normal
0,2.1975,49.903,0.122541,1,Normal
9,-1.21578,44.8043,0.940882,-1,Warning
11,-0.202533,78.1183,0,-1,Normal
5,-0.748315,50.8359,0.654534,-1,Warning
2,0.0678099,43.4325,0.269098,1,Normal
5,-0.110994,29.7626,0.667439,-1,Normal
13,-1.72445,33.1047,0.568277,-1,Normal
15,-0.553743,18.3015,0,-1,Normal
7,0.169826,64.9223,0.0774288,1,Warning
19,-2.21495,27.102,0.86647,-1,Warning
16,0.00183402,24.6516,0,1,Warning
0,0.0910324,20.7129,0.239806,1,Normal
11,-2.85454,64.1516,0.495473,-1,Normal
3,-0.105629,0,0.623388,-1,Normal
13,-3.30563,24.3758,0.765509,-1,Warning
18,-0.559885,5.89129,0.598912,-1,Normal
7,0.378821,77.8584,0.236869,1,Normal
23,0.472134,60.2868,0.153329,1,Normal
15,-0.284216,70.2033,0.282334,-1,Normal
18,-0.103193,34.4692,0.194007,-1,Normal
11,0.912362,41.9649,0.238467,1,Normal
22,-0.00221292,39.7746,0.657735,-1,Normal
1,0.582748,55.8016,0.705349,1,Normal
13,2.30706,29.927,0.45412,1,Normal
23,-2.37234,15.6757,0.736469,-1,Warning
5,-0.0782282,26.8925,0.0328072,-1,Normal
12,0.242921,22.2112,0.124601,1,Normal
16,0.110752,19.6489,0.089484,1,Normal
8,-0.831694,33.5225,0,-1,Normal
2,1.28334,35.3011,0.627766,1,Normal
10,3,70.3958,0.375549,1,Normal
17,-3.1936,2.13205,0.235905,-1,Normal
16,1.51641,20.9303,1,1,Warning
18,1.31765,33.003,1,1,Normal
12,-2.81775,33.2623,0.918548,-1,Warning
13,0.250231,45.594,0,1,Normal
17,0.013174,30.1253,0.0806056,1,Normal
19,-1.28973,10.2811,0.676732,-1,Warning
15,-2.31687,24.1094,0.869001,-1,Warning
11,1.56181,42.0849,0.722526,1,Normal
18,-1.90981,43.4451,0.432958,-1,Warning
7,-1.31082,44.6277,1,-1,Warning
21,-0.74637,23.6705,0.16621,-1,Normal
23,0.706798,75.291,0.2991,1,Normal
14,1.08589,32.055,0.826483,1,Normal
11,1.00999,15.4866,1,1,Normal
9,-0.335938,32.9736,0.244526,-1,Normal
5,1.18123,22.9213,1,1,Normal
4,2.78906,64.214,0.789913,1,Normal
12,-0.910175,22.7449,0.516323,-1,Normal
16,-3.39733,4.98689,0.520381,-1,Normal
3,1.75528,50.4371,0.584048,1,Normal
3,3,25.6916,0.920976,1,Warning
3,3,33.0742,1,1,Warning
14,-1.47506,3.44492,0.664056,-1,Warning
16,-3.24242,24.5969,0.372441,-1,Normal
9,2.05508,48.4125,0.997583,1,Normal
23,0.666699,68.8742,0.627347,1,Normal
22,-1.41412,48.303,0.888189,-1,Warning
4,-1.91697,18.1081,0.852674,-1,Warning
23,0.483421,31.6587,0.367829,1,Normal
23,0.00195351,46.0132,0.135998,1,Normal
11,0.407016,46.6546,0.261136,1,Normal
9,-0.850565,18.8332,0.435949,-1,Normal
17,1.75988,39.4255,0.962039,1,Normal
0,-0.433904,25.3328,0,-1,Normal
0,-0.360351,68.8225,0.329213,-1,Normal
1,-2.31793,35.5293,0.589826,-1,Normal
15,0.821774,43.2004,0.153446,1,Normal
13,0.462016,15.3703,0.432663,1,Normal
9,0.0731033,27.6812,0.762246,1,Normal
13,2.59167,36.115,0.457177,1,Normal
3,-0.747375,8.57255,0.38446,-1,Normal
0,-0.639552,45.4137,0.220562,-1,Normal
23,-2.31062,37.2486,0.499861,-1,Normal
9,-2.79276,25.0926,1,-1,Warning
17,-0.895559,22.825,0.0880427,-1,Normal
18,-0.990426,17.6752,0,-1,Normal
10,0.234317,43.0876,0.319338,1,Normal
11,3,66.0861,0.641533,1,Normal
19,-1.74281,70.6594,0.483332,-1,Normal
11,0.368253,44.6951,0.384875,1,Normal
7,2.46835,71.3084,1,1,Warning
14,2.69392,29.9129,0.913054,1,Warning
12,-0.235328,20.2749,0.6061,-1,Normal
21,2.61774,77.1709,0.719158,1,Normal
0,1.3108,3.88881,0.713318,1,Normal
1,-0.184653,41.5952,0.491105,-1,Normal
11,0.873664,8.46768,0.388343,1,Normal
11,0.565334,17.7278,0.147856,1,Normal
2,0.562759,54.7829,0.514993,1,Normal
0,0.668942,0,0,1,Normal
13,-0.59621,46.1455,0.0598748,-1,Normal
20,-2.33656,37.6509,0.427193,-1,Normal
21,2.49871,18.2204,0.831257,1,Normal
3,0.464792,15.9621,0.0300233,1,Normal
13,1.87592,41.7292,1,1,Warning
21,-0.415062,90.2375,0.0855945,-1,Normal
12,2.50601,36.1205,0.727834,1,Normal
0,0.173271,18.7228,0,1,Normal
9,-0.552508,58.4316,0.182775,-1,Normal
20,-0.383008,62.4854,0.0196351,-1,Normal
5,-2.63903,17.9881,0.917769,-1,Warning
20,-1.77565,47.9661,0.862416,-1,Warning
14,-0.621337,16.3263,0.325605,-1,Normal
19,1.07298,48.7687,0.884587,1,Normal
7,0.0542784,29.0308,0.135952,1,Normal
22,2.14569,57.6467,1,1,Normal
3,0.994914,28.4425,0.0148451,1,Normal
7,0.185962,19.4437,0.410467,1,Normal
3,0.250359,12.2098,0,1,Normal
13,1.43649,45.9858,0.759382,1,Normal
22,-2.43862,57.5804,0.671564,-1,Warning
16,0.926465,11.7758,0.338407,1,Normal
19,-0.120913,33.296,0.0417737,-1,Normal
14,-1.74274,30.0073,1,-1,Warning
18,4.06543,51.2753,0.848959,1,Warning
0,-0.183034,30.2056,0.398355,-1,Normal
11,0.459735,1.28736,0.498834,1,Normal
15,0.305378,73.3777,0.0314531,1,Normal
13,0.78999,0,0.72677,1,Normal
22,-0.0153694,28.6434,0.427921,-1,Normal
3,-0.67599,4.03064,0.378286,-1,Normal
19,-2.593,26.4943,0.897352,-1,Warning
15,-0.000143237,34.321,1.43098E-06,-1,Normal
19,0.803632,13.6367,0.227834,1,Warning
17,-2.81667,36.5672,0.772352,-1,Warning
7,-1.61086,0,0.749264,-1,Warning
7,-1.86613,14.2929,0.668352,-1,Warning
20,-0.917397,62.5032,0,-1,Normal
9,0.344768,44.1853,0.0693962,1,Normal
6,1.06615,78.6936,0.691355,1,Normal
17,-0.220116,36.9789,0.422759,-1,Normal
1,0.0855556,0,0,1,Normal
20,-0.283525,51.2964,0.599445,-1,Normal
1,1.73441,27.118,0.579807,1,Normal
8,0.155463,37.4413,0.587096,1,Normal
14,2.28279,26.251,1,1,Warning
7,-0.945287,7.18345,0.728179,-1,Warning
13,1.294,52.6136,0.141798,1,Normal
1,0.385207,42.7765,0.0828292,1,Normal
1,-0.497621,31.7996,0.508437,-1,Warning
13,-1.53155,17.3346,0.298195,-1,Warning
11,-0.30231,41.5371,0.37607,-1,Normal
6,0.333798,38.2755,0.616184,1,Normal
10,-0.384951,16.0732,0.297347,-1,Normal
20,-1.89808,67.4041,0.687472,-1,Warning
8,3,0,0.264978,1,Normal
14,0.581688,36.222,0.109263,1,Warning
22,-1.16147,13.4645,0.775085,-1,Warning
3,-1.55169,58.1485,0.578389,-1,Normal
3,0.703791,42.1011,0.607807,1,Normal
21,0.094548,57.9355,0,1,Normal
19,-0.00352741,0,0.252224,-1,Normal
14,1.37822,25.6279,0.634523,1,Warning
22,0.109374,71.4941,1,1,Normal
23,-2.05452,0,1,-1,Warning
23,-1.4868,13.811,0.75373,-1,Warning
7,-0.710713,37.4311,0,-1,Normal
1,-0.0134804,1.60386,0.528344,-1,Normal
6,-0.232156,1.35482,0.493672,-1,Normal
14,-1.96719,50.4496,1,-1,Normal
23,0.887522,37.3278,0.36085,1,Normal
2,-0.375936,47.6899,0,-1,Normal
1,0.997517,54.1822,0.278669,1,Normal
22,0.397864,0.615469,0.264628,1,Normal
6,-0.417431,18.6191,0,-1,Normal
4,0.180632,19.6233,0.206953,1,Normal
23,0.0436328,12.6711,0.731443,1,Normal
7,-0.0661812,33.2378,0.266388,-1,Normal
3,2.23804,16.5769,1,1,Warning
11,1.86287,25.8547,1,1,Warning
2,-0.344982,58.7963,0.211325,-1,Normal
9,-0.892775,31.7002,0.421355,-1,Warning
8,0.390313,47.3522,0.449662,1,Normal
20,-1.02786,65.1025,0.453632,-1,Normal
19,1.77303,50.2034,0.570771,1,Normal
12,0.239845,40.9085,0.16174,1,Normal
1,-1.2322,53.724,0.800674,-1,Warning
11,-1.97667,55.1741,0.88189,-1,Warning
12,0.814358,51.3419,0.206552,1,Normal
21,-1.02227,42.1265,0.669628,-1,Warning
2,0.248066,10.5146,0.363194,1,Normal
2,-0.77487,4.19131,0.357712,-1,Normal
17,-0.220091,7.52959,0.505273,-1,Normal
16,0.40676,67.1975,0.280356,1,Normal
8,-0.357704,9.0622,0.264548,-1,Normal
6,-0.506857,21.0556,0.587529,-1,Normal
9,-1.72903,59.1601,0.792413,-1,Warning
1,-0.943003,18.4332,0.298563,-1,Normal
14,-0.330796,31.1417,0.043621,-1,Normal
12,-4.07291,13.4699,0.712987,-1,Warning
23,0.277249,38.5256,0.108756,1,Normal
3,-0.220993,19.3154,0.275402,-1,Normal
2,2.66307,39.5674,0.294163,1,Normal
4,-3.08704,19.3062,1,-1,Warning
4,-0.637743,34.7633,0.406917,-1,Normal
9,3,25.9224,0.749597,1,Normal
3,0.593952,19.1287,0.145509,1,Normal
13,0.22068,15.1379,0.297484,1,Normal
1,-0.970648,47.963,0.212981,-1,Normal
22,-0.426587,25.9541,0.395204,-1,Normal
19,1.50281,39.5378,0.783193,1,Normal
1,-0.890594,54.2687,0.045273,-1,Normal
14,0.1765,20.1402,0.257301,1,Normal
14,-2.55436,49.6067,0.486172,-1,Normal
16,-0.238416,19.7481,0.517318,-1,Normal
6,2.81703,59.8139,0.812858,1,Normal
13,-0.474806,45.921,0,-1,Normal
19,1.75762,11.8647,0.569854,1,Normal
23,2.48004,29.9052,1,1,Warning
12,0.617652,12.1062,0.556159,1,Normal
14,0.728758,63.469,0.482309,1,Normal
8,2.29537,58.3796,0.912263,1,Warning
4,-4.48759,42.3092,0.54679,-1,Normal
8,-0.385271,33.86,0.230115,-1,Normal
18,0.405009,15.5361,0,1,Normal
20,-2.15132,9.68668,0.908813,-1,Warning
5,-0.618366,44.8664,0.386604,-1,Normal
7,1.40288,42.8488,0.554488,1,Normal
23,-3.16635,49.0544,0.411781,-1,Normal
5,-0.394663,7.37269,0.63487,-1,Warning
21,3.40645,51.2539,0.638722,1,Normal
22,1.72944,52.1569,0.824217,1,Normal
5,-0.785662,29.9485,0.202636,-1,Normal
19,2.98898,24.6063,0.478703,1,Normal
18,-0.0479346,64.7942,0.346568,-1,Normal
20,0.00135403,44.3647,0.47687,1,Normal
20,-0.432342,35.1016,0.838973,-1,Warning
4,0.0948967,66.1675,0.25492,1,Normal
8,-0.452818,30.1018,0.725221,-1,Warning
17,1.50106,39.0458,0.735839,1,Normal
5,-2.46811,45.9002,0.42918,-1,Normal
23,-0.694581,28.0596,0.582503,-1,Normal
0,0.884203,42.4229,0.637533,1,Normal
4,-0.887878,58.1265,0.218527,-1,Normal
11,-0.295884,29.4997,0.278051,-1,Normal
7,-3.1272,64.5766,1,-1,Warning
23,0.342348,35.7474,0,1,Normal
21,-1.97303,80.9495,0.678557,-1,Warning
23,-0.312247,24.9605,0,-1,Normal
17,-3.13923,51.7192,0.764437,-1,Normal
16,1.20971,49.2555,0.818957,1,Normal
22,0.750387,58.5801,0.182613,1,Normal
21,2.39573,38.5678,0.563784,1,Normal
3,0.220011,45.4052,0.16894,1,Normal
14,0.533856,30.8278,0,1,Normal
9,-0.355777,56.082,0.562466,-1,Normal
16,-1.4836,11.8988,0.682261,-1,Warning
22,2.22012,46.6881,0.703792,1,Normal
22,0.227273,36.7387,0.140583,1,Normal
10,-1.03305,48.7756,0.267055,-1,Normal
21,-0.104661,70.6586,0.342558,-1,Normal
23,3.18188,11.68,0.688266,1,Normal
14,-2.43611,62.9565,1,-1,Warning
23,-0.098769,52.1127,0.220871,-1,Normal
15,-0.146495,62.1488,0,-1,Normal
3,-1.95364,31.5853,0.513477,-1,Normal
4,-0.575607,47.8158,0.490886,-1,Normal
21,-1.28019,0,0.702261,-1,Warning
20,-1.24489,43.4611,1,-1,Normal
5,-0.723751,50.1143,0.316726,-1,Normal
15,0.817272,37.1217,0,1,Normal
21,0.127195,23.7097,0,1,Normal
6,-0.819525,24.2555,0.100264,-1,Normal
1,0.169781,24.1763,0.550772,1,Normal
7,-2.96292,50.8392,0.509819,-1,Normal
6,-3.7431,38.7008,0.879759,-1,Warning
13,-0.866821,27.9816,0.441886,-1,Normal
3,1.71935,17.1009,1,1,Warning
16,-2.00771,27.3987,0.724331,-1,Warning
0,-3.69903,47.9873,0.915722,-1,Warning
6,-0.190081,50.0855,0.476067,-1,Normal
23,0.551523,17.149,0.115019,1,Normal
2,-2.36606,35.8384,0.498077,-1,Warning
18,-1.16982,45.7345,0.725255,-1,Warning
3,-0.715827,32.9342,0.366785,-1,Normal
8,1.14504,42.1872,0.417883,1,Normal
5,1.09354,37.3218,0.414963,1,Normal
20,-0.973708,56.0559,0.605252,-1,Normal
16,2.78294,14.7032,0.380591,1,Normal
7,-0.518215,31.5151,0.51024,-1,Normal
10,-3.20911,0,0.791808,-1,Warning
18,3.00366,44.8031,0.88414,1,Normal
3,-0.336233,43.0796,0.154873,-1,Normal
22,1.35068,30.2145,0.554461,1,Normal
2,-2.97241,26.0997,0.663335,-1,Warning
19,-2.81353,18.5013,0.848734,-1,Warning
10,-0.296158,56.632,0.331919,-1,Normal
21,-2.84952,13.8231,1,-1,Warning
5,2.7061,45.6876,0.325097,1,Normal
8,-2.09377,59.4039,0.689872,-1,Warning
14,-0.422311,31.1778,0.0858893,-1,Normal
14,-1.60827,54.6901,0.735889,-1,Warning
14,3.20382,39.6411,0.781518,1,Normal
18,-3.04663,57.3536,0.714191,-1,Warning
16,-1.46935,58.9883,0.841867,-1,Warning
0,0.593004,30.1974,0.450939,1,Normal
6,0.454212,44.3627,0.640084,1,Normal
22,-0.22752,0,0.352656,-1,Normal
12,-3.58413,10.5245,0.791566,-1,Warning
13,0.132568,19.1442,0.17582,1,Normal
1,3,26.8772,0.845898,1,Normal
9,-0.446112,29.4779,0.329825,-1,Normal
11,0.292607,50.6373,0,1,Normal
15,-1.88244,12.6632,0.823511,-1,Warning
14,0.226095,18.6741,0.0340115,1,Normal
8,-0.30141,56.1703,0.239214,-1,Warning
15,-1.26032,46.3455,1,-1,Warning
2,-1.61276,34.3067,0.591096,-1,Normal
10,1.85924,21.1285,0.812347,1,Normal
18,-2.04709,30.6661,0.726655,-1,Warning
12,-0.60356,38.9917,0.229826,-1,Normal
22,0.989769,31.2229,0.0881626,1,Normal
23,-0.346948,42.1362,0.240947,-1,Normal
5,-0.635417,30.5915,0.67492,-1,Warning
7,0.0859968,58.5583,0.417214,1,Normal
17,0.819011,10.0644,0.0755067,1,Normal
3,2.94181,0,1,1,Warning
20,0.662594,50.5877,0.311869,1,Normal
15,0.18046,92.822,0.541612,1,Normal
15,-0.117154,25.6347,0.470901,-1,Normal
6,0.214186,26.2315,0.580808,1,Normal
7,-0.983376,49.4723,0.0122845,-1,Normal
1,2.55566,30.6045,0.744525,1,Normal
12,-1.47762,52.1067,0.852023,-1,Warning
21,2.70797,0,0.821936,1,Normal
10,-1.99254,51.8261,0.661503,-1,Warning
4,-0.505838,45.623,0.563648,-1,Normal
20,0.588196,25.9543,0.542038,1,Normal
0,0.401384,47.0522,0.554772,1,Normal
17,-0.463964,33.5972,0.229672,-1,Normal
5,0.278386,46.5322,0.518379,1,Normal
9,1.83505,46.6283,1,1,Warning
4,0.123832,45.3797,0.494672,1,Normal
3,1.40257,52.2511,0.294485,1,Normal
18,-1.25677,0,1,-1,Warning
21,0.631664,34.5032,0,1,Normal
9,0.291051,21.8404,0.652829,1,Normal
1,0.000937686,24.8046,0.392584,1,Warning
0,3,65.6849,0.305658,1,Normal
1,-1.03958,50.9587,0.871674,-1,Warning
15,-0.0313519,22.3717,0.381191,-1,Normal
14,0.555564,29.624,0,1,Warning
10,0.283558,25.9794,0.626829,1,Normal
3,-1.86577,62.5723,1,-1,Warning
17,-0.325708,10.9663,0.470151,-1,Normal
17,-3.05017,40.9633,0.662901,-1,Warning
10,0.737758,39.0346,0.588469,1,Normal
17,-0.630194,2.27249,0.254056,-1,Normal
23,0.0351935,19.0139,0.273136,1,Normal
17,0.226484,17.179,0.635013,1,Normal
19,-0.395023,36.4095,0.343849,-1,Normal
18,-1.86158,23.2187,0.938109,-1,Warning
11,-0.62101,38.4293,0.691012,-1,Warning
16,-0.460427,26.0331,0.253489,-1,Normal
21,0.063521,49.1731,0.166262,1,Normal
0,2.76729,36.1893,0.680517,1,Normal
0,-1.84865,20.5971,0.641839,-1,Warning
0,-1.18911,44.0817,0.703811,-1,Warning
12,0.862327,57.2778,0.289697,1,Normal
7,0.100656,45.6005,0,1,Normal
18,-0.509645,14.6778,0.253668,-1,Normal
7,-0.737443,10.7069,0.523651,-1,Normal
15,0.341559,14.6001,0.191512,1,Normal
9,-4.00984,49.5294,0.754074,-1,Warning
11,0.207284,3.62734,0.537181,1,Normal
22,1.40435,64.8391,0.798044,1,Normal
9,-1.15412,21.6241,0.557466,-1,Normal
15,1.39388,37.1402,0.739349,1,Normal
7,-1.15781,50.8935,0.589203,-1,Normal
15,-2.49525,48.8304,0.509001,-1,Normal
16,0.957737,57.5275,0.0481347,1,Normal
17,-2.1032,0,0.733288,-1,Warning
14,-0.304645,1.89442,0.147965,-1,Normal
11,-0.5106,47.9676,0.311292,-1,Normal
10,-0.977729,78.121,0.294208,-1,Normal
4,0.269419,38.5793,0.141389,1,Normal
12,-1.39619,39.1391,0.653412,-1,Warning
2,-0.952637,32.5753,0.0189699,-1,Normal
2,-0.319317,45.8983,0.0335375,-1,Warning
9,-0.158903,16.1093,0.154145,-1,Normal
23,0.303823,38.9712,0.342182,1,Normal
14,1.02837,45.7314,0.942536,1,Normal
10,-0.156945,53.1425,0.433889,-1,Normal
15,0.0390788,26.823,0.896405,1,Normal
4,-0.615485,29.4333,0,-1,Normal
2,0.737512,54.6849,0.629384,1,Normal
7,0.551933,38.7446,0.248687,1,Normal
20,0.177094,10.9837,0.83423,1,Normal
1,0.107662,73.1012,0,1,Normal
16,-2.72023,35.6943,0.751448,-1,Warning
5,0.0749078,55.2313,0.454981,1,Normal
7,-2.22629,39.9791,0.878999,-1,Warning
12,1.04389,28.3015,0.690531,1,Normal
5,3,67.8476,0.515061,1,Normal
3,0.728109,72.1953,0.65736,1,Normal
19,0.0577753,34.5436,0.0727503,1,Normal
2,0.787192,48.1078,0.215612,1,Normal
8,-2.87354,3.71521,0.717211,-1,Warning
9,-0.753618,41.7038,0,-1,Normal
7,-3.09022,57.3018,1,-1,Warning
23,-0.880814,0,0,-1,Normal
22,-0.249704,14.0376,0,-1,Normal
18,0.510412,19.4597,0,1,Normal
6,0.875421,27.4631,0.975684,1,Normal
16,-0.203323,22.5397,0.716124,-1,Normal
7,2.42386,33.7033,0.919424,1,Warning
14,-0.480763,42.9763,0.39129,-1,Normal
4,-0.48941,40.5668,0.193435,-1,Normal
3,0.913673,36.7561,0.555787,1,Normal
1,1.22764,37.5252,0.556692,1,Normal
14,-0.4805,27.3348,0.404318,-1,Normal
9,1.42018,27.0104,0.348727,1,Normal
10,-0.155456,65.5536,0.538776,-1,Normal
6,-1.09128,38.1831,0.571767,-1,Normal
4,-0.23786,0,0,-1,Normal
1,-0.846519,40.5916,0.0804023,-1,Normal
9,-1.9719,43.8797,1,-1,Warning
12,0.437881,27.5853,0.378531,1,Normal
11,1.98343,31.1337,0.827306,1,Normal
13,-1.00954,45.2535,0.887473,-1,Warning
3,1.67823,48.799,0.894829,1,Normal
3,-1.00152,39.495,0.770719,-1,Warning
18,-0.138807,78.0242,0,-1,Normal
